model_id,boundary,backend,artifact_stage,status,reason,item_id,expectation,artifact_path,receipt_path,identity,evidence_origin,compiler_dispatch_allowed,runtime_artifact_available
mobilenet_v3_large,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/c38ab1294a324214a244d20ef041ebf5/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/c38ab1294a324214a244d20ef041ebf5/hailo_hef_build_receipt.json,a911084ca887d0a74d73addc6d654ea6faec61876a51b4ded92e9a49ed612070,,False,True
mobilenet_v3_large,full,hailo10h,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/0e977067f3784730a91d4fe98aa0016e/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/mobilenet_v3_large/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/0e977067f3784730a91d4fe98aa0016e/hailo_hef_build_receipt.json,00577143b41b276e4dc33c342baff54986d3f078e8d46acc5681fb3a9b7c19b7,,False,True
mobilenet_v3_large,full,deepx,full,MISS,not_found,full,unspecified,,,deepx_m1_full_current_scale_only_v2_ff9360e7146fe599a4fb4548ec2a6f68,,True,False
mobilenet_v3_large,full,tensorrt,full,HIT,compatible_receipt,orin_nx_deepx_m1_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/engine_build_receipt.json,8a7d9d40e7cf3d4328cfd12c3c1a7c99f1a15c8488133b82c82b10dbc31cb272,,False,True
mobilenet_v3_large,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo10_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/engine_build_receipt.json,2eebc19690d1fbd696ac83d425bb5044b88a15f7179d2b685565efef251c5473,,False,True
mobilenet_v3_large,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo8_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/mobilenet_v3_large-a3603057150e0f6d/full/2f5e79b1e4280251e7b6eefe1d6161c4831e2fc27858e1e9fe2fac697f44489e/fp16/engine_build_receipt.json,3be98040d1acf87f5045a11cdb53a5077aabbb48ac96968f9bf37aa55c6f71a8,,False,True
regnet_x_1_6gf,b132,hailo8,part1,HIT,existing_hailo_receipt_valid,b132:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/b132/hailo/hailo8/part1/.hailo-generations/af00374d66d1417cadb2384d53462374/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/b132/hailo/hailo8/part1/.hailo-generations/af00374d66d1417cadb2384d53462374/hailo_hef_build_receipt.json,b66194b42d4e62fedc490744b2b75584f449403469cfda92f1bc2a7d7690caf5,,False,True
regnet_x_1_6gf,b132,hailo10h,part1,HIT,existing_hailo_receipt_valid,b132:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/b132/hailo/hailo10/part1/.hailo-generations/c2f483f5296f4795a23e15a2001cd26e/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/b132/hailo/hailo10/part1/.hailo-generations/c2f483f5296f4795a23e15a2001cd26e/hailo_hef_build_receipt.json,a4ddcfa4606dd11db374d8b3094a15f81581f501c0b5a0428104c86029645c8d,,False,True
regnet_x_1_6gf,b132,deepx,part1,UNKNOWN,required_artifact_cache_probe_missing,b132:part1,unspecified,,,,,False,False
regnet_x_1_6gf,b132,tensorrt,part2,HIT,compatible_receipt,orin_nx_deepx_m1_01/b132,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/splits/b132/part2/0c4ca31eb6af4403562b1f04df7103743b173677f8ea33b013a43d198fd0210d/fp16/part2_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/splits/b132/part2/0c4ca31eb6af4403562b1f04df7103743b173677f8ea33b013a43d198fd0210d/fp16/engine_build_receipt.json,4cb830254d3097ec6ecc26ca5aa1537a6db0620112a9b8d5aba2102dca390626,,False,True
