method_id,method_label,prediction_unit,group_count,development_group_count,holdout_group_count,validated_holdout_group_count,ranking_metric_scope,macro_mae_ms,macro_mape_percent,macro_spearman_rho,macro_kendall_tau_b,strict_correlation_group_count,diagnostic_correlation_group_count,macro_diagnostic_spearman_rho,macro_diagnostic_kendall_tau_b,development_diagnostic_eligible_group_count,development_diagnostic_macro_spearman_rho,development_diagnostic_macro_kendall_tau_b,development_diagnostic_actual_strata,development_diagnostic_min_coverage_fraction,development_diagnostic_claim_eligible,status,macro_hit_at_1,macro_near_optimal_hit_at_1,macro_validity_at_1,macro_regret_at_1,macro_elite_recall_at_1_q1,macro_elite_recall_at_1_q3,macro_hit_at_3,macro_near_optimal_hit_at_3,macro_validity_at_3,macro_regret_at_3,macro_elite_recall_at_3_q1,macro_elite_recall_at_3_q3,macro_hit_at_5,macro_near_optimal_hit_at_5,macro_validity_at_5,macro_regret_at_5,macro_elite_recall_at_5_q1,macro_elite_recall_at_5_q3
cut_bytes_only,Cut bytes only,bytes,1,1,0,0,declared_universe,,,,,0,0,,,0,,,[],,False,development_only,,,0.0,,,,,,0.0,,,,,,0.0,,,
weighted_score,Weighted score,score,1,1,0,0,declared_universe,,,,,0,0,,,0,,,[],,False,development_only,,,0.0,,,,,,0.0,,,,,,0.0,,,
cycle_time_no_handover,Cycle time without handover,ms,1,1,0,0,declared_universe,,,,,0,0,,,0,,,[],,False,development_only,,,0.0,,,,,,0.0,,,,,,0.0,,,
cycle_time_with_handover,Cycle time with runner/direction handover,ms,1,1,0,0,declared_universe,,,,,0,0,,,0,,,[],,False,development_only,,,0.0,,,,,,0.0,,,,,,0.0,,,
