backend,case_id,contract_comparison_conflicts,decomposition_source,full_onnx_AP50,full_onnx_AP75,full_onnx_COCO_AP_50_95,full_onnx_Top1,full_onnx_Top5,model,reference_identity,setup_id,split_AP50,split_AP75,split_COCO_AP_50_95,split_Top1,split_Top5,split_extra_loss_AP50,split_extra_loss_AP75,split_extra_loss_COCO_AP_50_95,split_extra_loss_Top1,split_extra_loss_Top5,status,task,total_split_loss_AP50,total_split_loss_AP75,total_split_loss_COCO_AP_50_95,total_split_loss_Top1,total_split_loss_Top5,vendor_full_AP50,vendor_full_AP75,vendor_full_COCO_AP_50_95,vendor_full_Top1,vendor_full_Top5,vendor_loss_AP50,vendor_loss_AP75,vendor_loss_COCO_AP_50_95,vendor_loss_Top1,vendor_loss_Top5
deepx,b074,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.768,0.93,,,,-0.03400000000000003,-0.017999999999999905,ok,classification,,,,-0.04400000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b078,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.768,0.93,,,,-0.03400000000000003,-0.017999999999999905,ok,classification,,,,-0.04400000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b091,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.766,0.93,,,,-0.03600000000000003,-0.017999999999999905,ok,classification,,,,-0.04600000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b095,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.764,0.93,,,,-0.038000000000000034,-0.017999999999999905,ok,classification,,,,-0.04800000000000004,-0.02199999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b107,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.764,0.932,,,,-0.038000000000000034,-0.015999999999999903,ok,classification,,,,-0.04800000000000004,-0.019999999999999907,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b112,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.76,0.932,,,,-0.04200000000000004,-0.015999999999999903,ok,classification,,,,-0.052000000000000046,-0.019999999999999907,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b118,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.762,0.932,,,,-0.040000000000000036,-0.015999999999999903,ok,classification,,,,-0.050000000000000044,-0.019999999999999907,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
deepx,b119,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.76,0.928,,,,-0.04200000000000004,-0.019999999999999907,ok,classification,,,,-0.052000000000000046,-0.02399999999999991,,,,0.802,0.948,,,,-0.010000000000000009,-0.0040000000000000036
hailo10h,b001,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.8,0.948,,,,-0.01200000000000001,0.0,ok,classification,,,,-0.01200000000000001,-0.0040000000000000036,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b003,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.8,0.952,,,,-0.01200000000000001,0.0040000000000000036,ok,classification,,,,-0.01200000000000001,0.0,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b008,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.814,0.946,,,,0.0019999999999998908,-0.0020000000000000018,ok,classification,,,,0.0019999999999998908,-0.006000000000000005,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b009,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.812,0.948,,,,0.0,0.0,ok,classification,,,,0.0,-0.0040000000000000036,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b020,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.81,0.946,,,,-0.0020000000000000018,-0.0020000000000000018,ok,classification,,,,-0.0020000000000000018,-0.006000000000000005,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b022,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.82,0.946,,,,0.007999999999999896,-0.0020000000000000018,ok,classification,,,,0.007999999999999896,-0.006000000000000005,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b027,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.804,0.946,,,,-0.008000000000000007,-0.0020000000000000018,ok,classification,,,,-0.008000000000000007,-0.006000000000000005,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b042,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.8,0.944,,,,-0.01200000000000001,-0.0040000000000000036,ok,classification,,,,-0.01200000000000001,-0.008000000000000007,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b052,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.8,0.944,,,,-0.01200000000000001,-0.0040000000000000036,ok,classification,,,,-0.01200000000000001,-0.008000000000000007,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
