model,backend,case,precision,execution_mode,setup_id,comparison_backend,task,runtime_status,fps,handoff_ms,semantic_status,semantic_ok,claim_ok,claim_ok_source,claim_structural_gate_pass,claim_structural_gate_reason,claim_ok_structural_clamped,quality_physical_evidence_conflict,quality_physical_evidence_conflict_fields,contract_consistent,structural_contract_pass,structural_contract_status,structural_contract_reason,numerical_similarity_pass,numerical_similarity_status,numerical_similarity_reason,numerical_similarity_scope,numerical_similarity_metric,numerical_similarity_policy_id,numerical_similarity_value,numerical_similarity_threshold,numerical_similarity_mean_iou,numerical_similarity_mean_iou_threshold,task_quality_pass,task_quality_status,task_quality_reason,source_e2e_scope,e2e_scope,e2e_claim_eligible,e2e_contract_reason,comparison_endpoint_stratum,measurement_concurrency,requires_host_decode_nms,postprocess_included,postprocess_location,host_postprocess_frozen,host_postprocessing_available,host_tail_available,host_postprocess_required,host_tail_required,host_postprocessing_evidence_status,host_postprocessing_evidence_source,host_postprocessing_legacy_alias_conflict,decoder_contract_pass,nms_ok,decoder_id,postprocess_completed_frames,postprocess_completion_verified,frozen_host_postprocess_contract,frozen_host_postprocess_contract_sha256,frozen_host_postprocess_result,stage,output_format,contract_family,contract_source,endpoint_contract_complete,endpoint_contract_hash,output_endpoint_attestation,accelerator_output_stage,accelerator_output_contract_family,accelerator_endpoint_contract_hash,accelerator_output_endpoint_attestation,output_endpoint_id,physical_output_endpoint_id,comparison_output_endpoint_id,output_endpoint_match,comparison_endpoint_match,output_endpoint_comparison_stratum,comparison_stratum_explicit,completed_task_stage,completed_task_contract_family,completed_task_endpoint_contract,completed_task_endpoint_contract_hash,completed_task_output_endpoint_id,completed_task_comparison_endpoint_contract,completed_task_comparison_endpoint_contract_hash,completed_task_comparison_output_endpoint_id,completed_task_completion_mode,completed_task_endpoint_attested,completed_task_endpoint_attestation,completed_task_endpoint_attestation_status,input_image,input_image_source,failure_reason
resnet50,native_full_hailo8,full,uint8_dequant_fp16,native_full_baseline,orin_nx_hailo8_01,hailo8,classification,ok,121.98605870073838,,claim_ok,True,True,True,True,endpoint_contract_complete,False,False,[],True,True,pass,endpoint_contract_complete,True,passed,classification_top1_self_reference_match,classification_top1_self_reference,top1_match,classification_top1_exact_v1,1.0,1.0,,,inconclusive,inconclusive,task_quality_inconclusive,accelerator_output_endpoint,full_task_pipeline,True,native_full_non_detection_explicit_input_contract,classification_logits,1,,False,,False,False,False,False,False,not_required,explicit_host_postprocess_not_required,False,,,,0,True,{},,{},classification_logits,classification_logits,classification_logits,authoritative_suite_contract_plus_runtime_tensor:v4,True,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""b0dd29fb95ec2953fe1ecbf2965d2d77a04eaa2955a4eb6b06e24f7a602650af"",""declaration_source_contracts_sha256"":""caf4818cf419b12de436f9ac731ff8a63435af12f5abb138bc7d0ba62b44ae46"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification_logits,classification_logits,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""b0dd29fb95ec2953fe1ecbf2965d2d77a04eaa2955a4eb6b06e24f7a602650af"",""declaration_source_contracts_sha256"":""caf4818cf419b12de436f9ac731ff8a63435af12f5abb138bc7d0ba62b44ae46"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,True,True,"[""resnet50"",""full"",""native_full_baseline"",""orin_nx_hailo8_01"",""hailo8""]",True,,,,,,{},,,,True,,passed,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG,generic_validation_image_map,
resnet50,native_full_tensorrt,full,uint8_dequant_fp16,native_full_baseline,orin_nx_hailo8_01,hailo8,classification,ok,589.63,,claim_ok,True,True,True,True,endpoint_contract_complete,False,False,[],True,True,pass,endpoint_contract_complete,True,passed,classification_top1_self_reference_match,classification_top1_self_reference,top1_match,classification_top1_exact_v1,1.0,1.0,,,True,pass,task_quality_passed,unavailable,full_task_pipeline,True,native_full_non_detection_explicit_input_contract,classification_logits,1,,False,,False,False,False,False,False,not_required,explicit_host_postprocess_not_required,False,,,,,,{},,{},classification_logits,classification_logits,classification_logits,authoritative_suite_contract_plus_runtime_tensor:v4,True,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""c268006842028389446cbe2236a760e12bab6a9e79fc71b1b9ef587a77fda046"",""declaration_source_contracts_sha256"":""02d1afaf1de69a1a8b29d3e7cb77c522577ba7cbd1fcaa4d003aa96ec85a4cca"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification_logits,classification_logits,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""c268006842028389446cbe2236a760e12bab6a9e79fc71b1b9ef587a77fda046"",""declaration_source_contracts_sha256"":""02d1afaf1de69a1a8b29d3e7cb77c522577ba7cbd1fcaa4d003aa96ec85a4cca"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,True,True,"[""resnet50"",""full"",""native_full_baseline"",""orin_nx_hailo8_01"",""hailo8""]",True,,,,,,,,,,,,not_required,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG,generic_validation_image_map,
