backend,variant,model_count,case_count,mean_total_latency_ms,compile_ok_rate,runtime_ok_rate,validation_ok_rate
hailo8,full,1,2,8.185816,,1.0,1.0
tensorrt,full,1,1,1.986074,,1.0,1.0
tensorrt,split,1,1,2.19121,,1.0,1.0
