row_role,quality_result_id,source_index,model_id,task,case_id,backend,setup_id,run_id,source_run_id,variant,execution_role,performance_claims_emitted,technical_status,task_quality_tier,task_quality_status,task_quality_decision,source_task_quality_decision,task_quality_metric,task_quality_candidate,task_quality_reference,task_quality_delta,task_quality_ci_low,task_quality_ci_high,task_quality_margin,task_quality_bootstrap_repetitions_requested,task_quality_bootstrap_repetitions,task_quality_bootstrap_engine,task_quality_bootstrap_skipped_reason,task_quality_bootstrap_elapsed_s,task_quality_gate_reason,task_quality_gate_reasons,validation_evaluated_count,runtime_precision_identity,quality_policy_sha256,validation_dataset_manifest_sha256,validation_dataset_sha256,validation_image_ids_sha256,validation_ground_truth_sha256,preprocessing_contract_sha256,decoder_contract_sha256,nms_contract_sha256,quality_contract_sha256,algorithm_version,quality_result_contract_version,metric_gate_config,evaluation_fingerprint,reference_identity,reference_predictions_sha256,candidate_predictions_sha256,annotations_sha256,source_request,source_request_sha256,producer_identity_sha256,producer_binding_eligible,guardrails,configured_guardrails,missing_guardrails,guardrail_contract_complete,source_guardrail_contract_complete,row_status,task_quality_ap50_metric,task_quality_ap50_candidate,task_quality_ap50_reference,task_quality_ap50_delta,task_quality_ap50_ci_low,task_quality_ap50_ci_high,task_quality_ap50_margin,task_quality_ap50_decision,task_quality_ap50_status,task_quality_ap50_n,task_quality_ap50_bootstrap_repetitions_requested,task_quality_ap50_bootstrap_repetitions,task_quality_ap50_bootstrap_engine,task_quality_ap50_bootstrap_skipped_reason,task_quality_ap50_bootstrap_elapsed_s,task_quality_ap75_metric,task_quality_ap75_candidate,task_quality_ap75_reference,task_quality_ap75_delta,task_quality_ap75_ci_low,task_quality_ap75_ci_high,task_quality_ap75_margin,task_quality_ap75_decision,task_quality_ap75_status,task_quality_ap75_n,task_quality_ap75_bootstrap_repetitions_requested,task_quality_ap75_bootstrap_repetitions,task_quality_ap75_bootstrap_engine,task_quality_ap75_bootstrap_skipped_reason,task_quality_ap75_bootstrap_elapsed_s,task_quality_bound_value,task_quality_bound_evidence,task_quality_ci_computed
central_quality_result,05938afc7b950efaa71ab7ddf158d46667691b4c0d1ac19b1e7b4eb09c3df5f3,3,yolov7_paper,detection,b066,hailo8,orin_nx_hailo8_01,hailo8,hailo8,full,,,completed,screening,fail,fail,fail,coco_ap_50_95,0.4147833804028238,0.4520187916528286,-0.03723541125000479,-0.03723541125000479,-0.03723541125000479,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,point_estimate_below_non_inferiority_margin,3.4153689108788967,primary:coco_ap_50_95:decision:fail;primary:coco_ap_50_95:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:ap50:decision:pass;guardrail:ap50:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:ap75:decision:fail;guardrail:ap75:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,"[""primary:coco_ap_50_95:decision:fail"",""primary:coco_ap_50_95:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin"",""guardrail:ap50:decision:pass"",""guardrail:ap50:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin"",""guardrail:ap75:decision:fail"",""guardrail:ap75:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin""]",500,hailo_hef_sha256:2e860dc38a585f0890a1040ca033c595e3c23e281083039f6ec93621317f7c88,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,management_paired_quality_v2:detection-cached-matching-v2-ap75,2,"{""guardrails"":{""ap50_margin"":0.01,""ap75_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""coco_ap_50_95""}",05938afc7b950efaa71ab7ddf158d46667691b4c0d1ac19b1e7b4eb09c3df5f3,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,5703b639d90fdcce74bf36e604d7015ab98a484fdb99d13fd48e72e8d7500ebc,0747bc441454397e9451b75bc8a30b00a329e8e78e6713ccd7bde4cf997cad2e,cc762beff133abf33a162f6036465117cd0a245679f0871b23f2021c6708ff3c,models/yolov7_paper/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b066/results_hailo8/task_quality_inputs/full_request.json,03f695e8f6b72faedfe92e5cb976b0160f9b637b0b165696daaea0b58a482732,,False,"{""ap50"":{""bootstrap_elapsed_s"":3.4153689108788967,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":0,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":""point_estimate_below_non_inferiority_margin"",""candidate"":0.5976476361403371,""ci_high"":0.0002846130252918133,""ci_low"":0.0002846130252918133,""decision"":""pass"",""delta"":0.0002846130252918133,""margin"":0.01,""metric"":""ap50"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.5973630231150453,""status"":""pass""},""ap75"":{""bootstrap_elapsed_s"":3.4153689108788967,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":0,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":""point_estimate_below_non_inferiority_margin"",""candidate"":0.4672885338711266,""ci_high"":-0.02124133356985186,""ci_low"":-0.02124133356985186,""decision"":""fail"",""delta"":-0.02124133356985186,""margin"":0.01,""metric"":""ap75"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.4885298674409785,""status"":""fail""}}","[""ap50"",""ap75""]",[],True,True,available,ap50,0.5976476361403371,0.5973630231150453,0.0002846130252918133,0.0002846130252918133,0.0002846130252918133,0.01,pass,pass,500,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,point_estimate_below_non_inferiority_margin,3.4153689108788967,ap75,0.4672885338711266,0.4885298674409785,-0.02124133356985186,-0.02124133356985186,-0.02124133356985186,0.01,fail,fail,500,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,point_estimate_below_non_inferiority_margin,3.4153689108788967,,not_computed:point_estimate_below_non_inferiority_margin,False
central_quality_result,98236ecce471247de38d3775e373bc3689f026da032b6b543d67b5304a2c394d,0,yolov7_paper,detection,b066,hailo8_to_trt,orin_nx_hailo8_01,hailo8_to_trt,hailo8_to_trt,composed,,False,completed,screening,pass,pass,pass,coco_ap_50_95,0.45786292065442125,0.4520187916528286,0.005844129001592646,0.0013944257900761264,0.010706973481698146,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,132.70660721790045,primary:coco_ap_50_95:decision:pass;guardrail:ap50:decision:pass;guardrail:ap75:decision:pass,"[""primary:coco_ap_50_95:decision:pass"",""guardrail:ap50:decision:pass"",""guardrail:ap75:decision:pass""]",500,uint8_dequant_fp16,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,management_paired_quality_v2:detection-cached-matching-v2-ap75,2,"{""guardrails"":{""ap50_margin"":0.01,""ap75_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""coco_ap_50_95""}",98236ecce471247de38d3775e373bc3689f026da032b6b543d67b5304a2c394d,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,5703b639d90fdcce74bf36e604d7015ab98a484fdb99d13fd48e72e8d7500ebc,2d82cc9312143350f1c0fe389ab8bf81ede3fb6674188b9348611ff391c8bcfd,cc762beff133abf33a162f6036465117cd0a245679f0871b23f2021c6708ff3c,models/yolov7_paper/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b066/results_hailo8_to_trt/task_quality_inputs/composed_request.json,0b92f121049ccd014fa2c0476b14840383946efdfbd2065fb22a1e291546c1c2,,True,"{""ap50"":{""bootstrap_elapsed_s"":132.70660721790045,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.6052535578571628,""ci_high"":0.013715504098702137,""ci_low"":0.0018557763937521294,""decision"":""pass"",""delta"":0.007890534742117539,""margin"":0.01,""metric"":""ap50"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.5973630231150453,""status"":""pass""},""ap75"":{""bootstrap_elapsed_s"":132.70660721790045,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.4967305281374713,""ci_high"":0.015219226925858599,""ci_low"":0.0014291559373964269,""decision"":""pass"",""delta"":0.008200660696492834,""margin"":0.01,""metric"":""ap75"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.4885298674409785,""status"":""pass""}}","[""ap50"",""ap75""]",[],True,True,available,ap50,0.6052535578571628,0.5973630231150453,0.007890534742117539,0.0018557763937521294,0.013715504098702137,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,132.70660721790045,ap75,0.4967305281374713,0.4885298674409785,0.008200660696492834,0.0014291559373964269,0.015219226925858599,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,132.70660721790045,0.0013944257900761264,computed_95_percent_lcb,True
central_quality_result,a9090331d0d181f469b646e2e5d6f2dfa8cc9d38f7ccded973067ed751af626e,4,yolov7_paper,detection,full,tensorrt,orin_nx_hailo8_01,native_full_tensorrt,native_full_tensorrt,full,full_quality_only,False,completed,screening,pass,pass,pass,coco_ap_50_95,0.4611331488872592,0.4520187916528286,0.009114357234430603,0.006551944236381803,0.013604013470794856,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,130.43460224498995,primary:coco_ap_50_95:decision:pass;guardrail:ap50:decision:pass;guardrail:ap75:decision:pass,"[""primary:coco_ap_50_95:decision:pass"",""guardrail:ap50:decision:pass"",""guardrail:ap75:decision:pass""]",500,fp16,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,management_paired_quality_v2:detection-cached-matching-v2-ap75,2,"{""guardrails"":{""ap50_margin"":0.01,""ap75_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""coco_ap_50_95""}",a9090331d0d181f469b646e2e5d6f2dfa8cc9d38f7ccded973067ed751af626e,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,5703b639d90fdcce74bf36e604d7015ab98a484fdb99d13fd48e72e8d7500ebc,bb10811634f59a604e6287be4d5e367b683e076b50f6ecac71f2aa3e549e9523,cc762beff133abf33a162f6036465117cd0a245679f0871b23f2021c6708ff3c,models/yolov7_paper/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/results_native_full_tensorrt/task_quality_inputs/full_request.json,ce796f5fa9da15952e6cbc0b67ff76135caae90e720fffd97501cc4c3f32d39e,4a904f481a5c4671317381daf8f55caf252eed0b5db7d350868628258ac803d4,True,"{""ap50"":{""bootstrap_elapsed_s"":130.43460224498995,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.6100491431661614,""ci_high"":0.018381233696905412,""ci_low"":0.009075862022986598,""decision"":""pass"",""delta"":0.012686120051116134,""margin"":0.01,""metric"":""ap50"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.5973630231150453,""status"":""pass""},""ap75"":{""bootstrap_elapsed_s"":130.43460224498995,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.4984808309261899,""ci_high"":0.014840984315316077,""ci_low"":0.006779167147396238,""decision"":""pass"",""delta"":0.009950963485211406,""margin"":0.01,""metric"":""ap75"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.4885298674409785,""status"":""pass""}}","[""ap50"",""ap75""]",[],True,True,available,ap50,0.6100491431661614,0.5973630231150453,0.012686120051116134,0.009075862022986598,0.018381233696905412,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,130.43460224498995,ap75,0.4984808309261899,0.4885298674409785,0.009950963485211406,0.006779167147396238,0.014840984315316077,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,130.43460224498995,0.006551944236381803,computed_95_percent_lcb,True
central_quality_result,dc95c97776f588e355b3ceb21b32e2b3c7e68c1e352b1e25a9942f3950a2320e,1,yolov7_paper,detection,b066,ort_tensorrt,orin_nx_hailo8_01,ort_tensorrt,ort_tensorrt,composed,,,completed,screening,pass,pass,pass,coco_ap_50_95,0.461172669130276,0.4520187916528286,0.009153877477447392,0.006637458913705789,0.01345474277025796,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.70308372098953,primary:coco_ap_50_95:decision:pass;guardrail:ap50:decision:pass;guardrail:ap75:decision:pass,"[""primary:coco_ap_50_95:decision:pass"",""guardrail:ap50:decision:pass"",""guardrail:ap75:decision:pass""]",500,fp16,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,management_paired_quality_v2:detection-cached-matching-v2-ap75,2,"{""guardrails"":{""ap50_margin"":0.01,""ap75_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""coco_ap_50_95""}",dc95c97776f588e355b3ceb21b32e2b3c7e68c1e352b1e25a9942f3950a2320e,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,5703b639d90fdcce74bf36e604d7015ab98a484fdb99d13fd48e72e8d7500ebc,e7981707538ad0f5131b9dae4da900034f17776413ea77b3567b828d7a47d57c,cc762beff133abf33a162f6036465117cd0a245679f0871b23f2021c6708ff3c,models/yolov7_paper/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b066/results_ort_tensorrt/task_quality_inputs/composed_request.json,12173962479d0fb46528d1668b7ea7d0fa502ee9e05d9a685a1ff57f173d1827,,False,"{""ap50"":{""bootstrap_elapsed_s"":129.70308372098953,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.6101317939837232,""ci_high"":0.01837805086888551,""ci_low"":0.00919987066510133,""decision"":""pass"",""delta"":0.012768770868677892,""margin"":0.01,""metric"":""ap50"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.5973630231150453,""status"":""pass""},""ap75"":{""bootstrap_elapsed_s"":129.70308372098953,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.4985239738893538,""ci_high"":0.014866349732836936,""ci_low"":0.00674752462996478,""decision"":""pass"",""delta"":0.00999410644837534,""margin"":0.01,""metric"":""ap75"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.4885298674409785,""status"":""pass""}}","[""ap50"",""ap75""]",[],True,True,available,ap50,0.6101317939837232,0.5973630231150453,0.012768770868677892,0.00919987066510133,0.01837805086888551,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.70308372098953,ap75,0.4985239738893538,0.4885298674409785,0.00999410644837534,0.00674752462996478,0.014866349732836936,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.70308372098953,0.006637458913705789,computed_95_percent_lcb,True
central_quality_result,163708b7b258aa47d1625e3e51bc446d59f815cc2bd7f8dcf807f59c46a4335e,2,yolov7_paper,detection,b066,ort_tensorrt,orin_nx_hailo8_01,ort_tensorrt,ort_tensorrt,full,,,completed,screening,pass,pass,pass,coco_ap_50_95,0.4611331488872592,0.4520187916528286,0.009114357234430603,0.006551944236381803,0.013604013470794856,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.34738993481733,primary:coco_ap_50_95:decision:pass;guardrail:ap50:decision:pass;guardrail:ap75:decision:pass,"[""primary:coco_ap_50_95:decision:pass"",""guardrail:ap50:decision:pass"",""guardrail:ap75:decision:pass""]",500,fp16,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,management_paired_quality_v2:detection-cached-matching-v2-ap75,2,"{""guardrails"":{""ap50_margin"":0.01,""ap75_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""coco_ap_50_95""}",163708b7b258aa47d1625e3e51bc446d59f815cc2bd7f8dcf807f59c46a4335e,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,5703b639d90fdcce74bf36e604d7015ab98a484fdb99d13fd48e72e8d7500ebc,bb10811634f59a604e6287be4d5e367b683e076b50f6ecac71f2aa3e549e9523,cc762beff133abf33a162f6036465117cd0a245679f0871b23f2021c6708ff3c,models/yolov7_paper/benchmark_results/quality_inputs/orin_nx_hailo8_01/results/b066/results_ort_tensorrt/task_quality_inputs/full_request.json,0400815513b9b99c6bba6524bdda646fc713313410b13217094e5605c81f92fd,,False,"{""ap50"":{""bootstrap_elapsed_s"":129.34738993481733,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.6100491431661614,""ci_high"":0.018381233696905412,""ci_low"":0.009075862022986598,""decision"":""pass"",""delta"":0.012686120051116134,""margin"":0.01,""metric"":""ap50"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.5973630231150453,""status"":""pass""},""ap75"":{""bootstrap_elapsed_s"":129.34738993481733,""bootstrap_engine"":""management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator"",""bootstrap_repetitions"":500,""bootstrap_repetitions_requested"":500,""bootstrap_skipped_reason"":"""",""candidate"":0.4984808309261899,""ci_high"":0.014840984315316077,""ci_low"":0.006779167147396238,""decision"":""pass"",""delta"":0.009950963485211406,""margin"":0.01,""metric"":""ap75"",""n"":500,""point_estimate_comparison_basis"":""float_inclusive_threshold_tolerance"",""reference"":0.4885298674409785,""status"":""pass""}}","[""ap50"",""ap75""]",[],True,True,available,ap50,0.6100491431661614,0.5973630231150453,0.012686120051116134,0.009075862022986598,0.018381233696905412,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.34738993481733,ap75,0.4984808309261899,0.4885298674409785,0.009950963485211406,0.006779167147396238,0.014840984315316077,0.01,pass,pass,500,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:detection_quality_evaluator,,129.34738993481733,0.006551944236381803,computed_95_percent_lcb,True
