row_role,row_status,model_id,task,case_id,backend,variant,setup_id,evaluation_role,runner_regime,direction,contract_hash,preprocessing_hash,decoder_hash,nms_hash,pipeline_contract_sha256,pipeline_preprocessing_sha256,pipeline_decoder_sha256,pipeline_nms_sha256,quality_contract_sha256,preprocessing_contract_sha256,decoder_contract_sha256,nms_contract_sha256,source_request_sha256,model_sha256,validation_dataset_sha256,validation_dataset_image_ids_sha256,validation_dataset_ground_truth_sha256,accuracy_gate_policy_sha256,task_quality_policy_sha256,runtime_quality_gate_policy_sha256,validation_input_or_image_sha256,prepared_feed_task,prepared_feed_preprocess_mode,prepared_feed_letterbox_pad_value,prepared_feed_source_image_sha256,prepared_feed_identity_source,comparison_backend,execution_mode,precision,precision_role,execution_precision,split_boundary_precision,full_runtime_precision,comparison_precision,legacy_comparison_precision,runtime_precision_status,output_endpoint_id,stage,contract_family,endpoint_contract_hash,endpoint_contract_complete,output_endpoint_match,physical_output_endpoint_id,physical_endpoint_contract_hash,physical_endpoint_stage,physical_endpoint_contract_complete,physical_output_endpoint_match,physical_endpoint_identity_status,comparison_output_endpoint_id,comparison_endpoint_contract_hash,comparison_endpoint_stage,completion_pairing_eligible,completion_pairing_status,completion_pairing_validation_status,central_quality_evidence_verified,precision_quality_verified,precision_quality_binding_verified,task_quality_observation_valid,accuracy_gate_pass,quality_claim_result_verified,quality_verified,quality_provenance_complete,quality_gate_status,native_validation_join_status,throughput_fps,target_duration_s,active_duration_s,active_duration_relative_tolerance,active_duration_comparison_policy,active_duration_tolerance_source,average_power_w,energy_per_work_j,energy_total_j,scientific_primary_method,scientific_primary_method_frozen,scientific_primary_contract_generation,scientific_shadow_method,scientific_shadow_role,scientific_shadow_energy_status,scientific_shadow_valid_run_count,scientific_shadow_affects_primary_claim,scientific_shadow_affects_primary_result,scientific_shadow_affects_final_gate,shadow_energy_per_work_j,shadow_energy_total_j,energy_work_units,energy_work_units_source,energy_scope,energy_window,energy_window_effective,energy_calibration_sha256,energy_calibration_verified,energy_calibration_manifest,energy_calibration_status,energy_calibration_required,external_calibration_verified,external_calibration_status,energy_primary_metric,energy_calibrated_input_unsubtracted,primary_energy_input_verified,energy_raw_primary,scientific_primary_energy_status,scientific_primary_claim_eligible,energy_dynamic_j,host_normalized_energy_est_j,energy_repeat_n,energy_repeat_valid_n,energy_repeat_requested_n,energy_repeat_observed_n,energy_repeat_status,screening_comparable,claim_comparable,energy_confidence_level,energy_per_work_sample_stddev_j,energy_per_work_ci_low_j,energy_per_work_ci_high_j,average_power_ci_low_w,average_power_ci_high_w,energy_ab_status,energy_ab_valid_n,ab_energy_relative_percent_mean,ab_energy_relative_percent_ci_low,ab_energy_relative_percent_ci_high,measurement_ok,measurement_status,measurement_failure_reason,measurement_failure_category,measurement_run_rc,postprocess_status,collector_reported_final_energy_gate_status,final_energy_gate_status,energy_aggregate_status,performance_eligible,energy_eligible,ranking_eligible,eligibility_status,exclusion_reason,scientific_claim_exclusion_reasons,source_path,source_kind,native_semantic_gate,claim_eligible,observation_tier
native_energy_measurement,measurement_failed,yolov7_paper,detection,b066,hailo8_to_trt,native_split,orin_nx_hailo8_01,unknown,native_fifo,hailo8_to_trt,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,,,,,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,0b92f121049ccd014fa2c0476b14840383946efdfbd2065fb22a1e291546c1c2,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,detection,letterbox,114,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,successful_split_prepared_input_contract,hailo8,native_split,uint8_dequant_fp16,split_boundary_precision,uint8_dequant_fp16,uint8_dequant_fp16,,,,verified_explicit,,,,,False,False,detection:raw_head:051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,raw_head,True,True,verified_plan_validation_match,,,,False,strict_completed_detection_endpoint_verified,validation_completed_endpoint_mismatch,True,True,True,True,True,False,True,True,screening_only,exact_unique,15.872171169677971,60.0,,0.05,abs(split_active_duration_s-baseline_active_duration_s)/common_target_duration_s<=relative_tolerance,native_energy_reporting.NATIVE_ENERGY_ACTIVE_DURATION_RELATIVE_TOLERANCE,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,exact_runtime_marker_required_duration_driven,MB,unknown,unknown,,False,,not_applicable_mb,False,False,not_required_non_full_system,unverified_postprocessor_energy,False,False,False,incomplete_or_unverified,False,,,0,0,3,3,no_valid_repeats,False,False,0.95,,,,,,no_valid_ab_repeats,0,,,,False,measurement_failed,"mika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/measurements/hailo8_to_trt__yolov7_paper__b066__orin_nx_hailo8_01__b4a9dc5882cc/plan_30671fc2278e429f908b23c535f15665/attempt_371677f5b7c94cd699c8d8c041ce10cd/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmi...",measurement_execution_failed,1,postprocess_failed_no_valid_repeats,fail,fail,acquisition_integrity_failed_no_valid_runs,False,False,False,measurement_failed,measurement_execution_failed;native_output_endpoint_not_verified;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_quality_claim_result_not_verified,"[""measurement_execution_failed"",""native_output_endpoint_not_verified"",""final_energy_gate_not_passed"",""postprocess_not_ok"",""exact_runtime_work_units_missing"",""effective_command_window_not_verified"",""raw_input_energy_not_primary"",""scientific_primary_unavailable_or_unverified"",""screening_energy_policy_nonclaimable"",""native_quality_claim_result_not_verified""]",/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/native_producer_energy_results.json,native_energy_measurement,screening_only_not_claimable,False,development_or_screening
native_energy_measurement,measurement_failed,yolov7_paper,detection,full,native_full_hailo8,native_full_baseline,orin_nx_hailo8_01,unknown,native_full,hailo8_to_trt,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,,,,,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,03f695e8f6b72faedfe92e5cb976b0160f9b637b0b165696daaea0b58a482732,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,detection,letterbox,114,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,successful_full_runtime_input_contract,hailo8,native_full_baseline,uint8_dequant_fp16,legacy_comparison_precision,hailo_hef_sha256:2e860dc38a585f0890a1040ca033c595e3c23e281083039f6ec93621317f7c88,,hailo_hef_sha256:2e860dc38a585f0890a1040ca033c595e3c23e281083039f6ec93621317f7c88,uint8_dequant_fp16,uint8_dequant_fp16,verified_explicit,detection:decoded_nms:comparison:43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,decoded_nms,decoded_nms,43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,True,True,detection:raw_head:051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,raw_head,True,True,verified_plan_validation_match,detection:decoded_nms:comparison:43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,decoded_nms,True,strict_completed_detection_endpoint_verified,strict_plan_validation_completed_endpoint_match,True,True,True,True,False,False,False,True,quality_failed,exact_unique,16.15250425682506,60.0,,0.05,abs(split_active_duration_s-baseline_active_duration_s)/common_target_duration_s<=relative_tolerance,native_energy_reporting.NATIVE_ENERGY_ACTIVE_DURATION_RELATIVE_TOLERANCE,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,exact_runtime_marker_required_duration_driven,MB,unknown,unknown,,False,,not_applicable_mb,False,False,not_required_non_full_system,unverified_postprocessor_energy,False,False,False,incomplete_or_unverified,False,,,0,0,3,3,no_valid_repeats,False,False,0.95,,,,,,no_valid_ab_repeats,0,,,,False,measurement_failed,"60827_110251/reports/native_energy_measurements/measurements/native_full_hailo8__yolov7_paper__full__orin_nx_hailo8_01__9b0225ee3618/plan_30671fc2278e429f908b23c535f15665/attempt_d3eb0b283acf4688855ac59b14156b7e/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_...",measurement_execution_failed,1,postprocess_failed_no_valid_repeats,fail,fail,acquisition_integrity_failed_no_valid_runs,False,False,False,measurement_failed,measurement_execution_failed;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_accuracy_gate_not_passed,"[""measurement_execution_failed"",""final_energy_gate_not_passed"",""postprocess_not_ok"",""exact_runtime_work_units_missing"",""effective_command_window_not_verified"",""raw_input_energy_not_primary"",""scientific_primary_unavailable_or_unverified"",""screening_energy_policy_nonclaimable"",""native_accuracy_gate_not_passed""]",/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/native_producer_energy_results.json,native_energy_measurement,screening_only_not_claimable,False,development_or_screening
native_energy_measurement,measurement_failed,yolov7_paper,detection,full,native_full_tensorrt,native_full_baseline,orin_nx_hailo8_01,unknown,native_full,hailo8_to_trt,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,,,,,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,ce796f5fa9da15952e6cbc0b67ff76135caae90e720fffd97501cc4c3f32d39e,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,detection,letterbox,114,a4cd7f45ac1ce27eaafb254b23af7c0b18a064be08870ceaaf03b2147f2ce550,successful_full_runtime_input_contract,hailo8,native_full_baseline,uint8_dequant_fp16,legacy_comparison_precision,fp16,,fp16,uint8_dequant_fp16,uint8_dequant_fp16,verified_explicit,detection:decoded_nms:comparison:43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,decoded_nms,decoded_nms,43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,True,True,detection:raw_head:051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,051f0d9e489355d312ad656532acf3ed8a2719774d8ef9843278818f5bd15adc,raw_head,True,True,verified_plan_validation_match,detection:decoded_nms:comparison:43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,43612439aff99a683e0c32f17d9bc70074301ae7445e83c8307439856fbf8a08,decoded_nms,True,strict_completed_detection_endpoint_verified,strict_plan_validation_completed_endpoint_match,True,True,True,True,True,False,True,True,screening_only,exact_unique,18.848095416943522,60.0,,0.05,abs(split_active_duration_s-baseline_active_duration_s)/common_target_duration_s<=relative_tolerance,native_energy_reporting.NATIVE_ENERGY_ACTIVE_DURATION_RELATIVE_TOLERANCE,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,exact_runtime_marker_required_duration_driven,MB,unknown,unknown,,False,,not_applicable_mb,False,False,not_required_non_full_system,unverified_postprocessor_energy,False,False,False,incomplete_or_unverified,False,,,0,0,3,3,no_valid_repeats,False,False,0.95,,,,,,no_valid_ab_repeats,0,,,,False,measurement_failed,"y_measurements/measurements/native_full_tensorrt__yolov7_paper__full__orin_nx_hailo8_01__5d969ecc44a9/plan_30671fc2278e429f908b23c535f15665/attempt_c8ed1363e5634d3c93bf87f47e10ada5/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_...",measurement_execution_failed,1,postprocess_failed_no_valid_repeats,fail,fail,acquisition_integrity_failed_no_valid_runs,False,False,False,measurement_failed,measurement_execution_failed;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_quality_claim_result_not_verified,"[""measurement_execution_failed"",""final_energy_gate_not_passed"",""postprocess_not_ok"",""exact_runtime_work_units_missing"",""effective_command_window_not_verified"",""raw_input_energy_not_primary"",""scientific_primary_unavailable_or_unverified"",""screening_energy_policy_nonclaimable"",""native_quality_claim_result_not_verified""]",/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/native_producer_energy_results.json,native_energy_measurement,screening_only_not_claimable,False,development_or_screening
