model,task,backend,case,execution_mode,setup_id,comparison_backend,direction,energy_repeat_valid_n,source_request_sha256,model_sha256,validation_dataset_sha256,validation_dataset_image_ids_sha256,validation_dataset_ground_truth_sha256,accuracy_gate_policy_sha256,task_quality_policy_sha256,runtime_quality_gate_policy_sha256,quality_contract_sha256,preprocessing_contract_sha256,decoder_contract_sha256,nms_contract_sha256,quality_provenance_complete,energy_repeat_requested_n,energy_repeat_observed_n,energy_repeat_status,energy_confidence_level,energy_total_j_mean,energy_total_j_sample_stddev,energy_total_j_ci_low,energy_total_j_ci_high,energy_per_work_j_mean,energy_per_work_j_sample_stddev,energy_per_work_j_ci_low,energy_per_work_j_ci_high,average_power_w_mean,average_power_w_ci_low,average_power_w_ci_high,candidate_energy_total_j_mean,candidate_energy_total_j_ci_low,candidate_energy_total_j_ci_high,candidate_energy_per_work_j_mean,candidate_energy_per_work_j_ci_low,candidate_energy_per_work_j_ci_high,energy_ab_requested,energy_ab_attempted_n,energy_ab_valid_n,energy_ab_status,ab_difference_direction,ab_energy_relative_percent_mean,ab_energy_relative_percent_ci_low,ab_energy_relative_percent_ci_high,ab_duration_relative_percent_mean,ab_duration_relative_percent_ci_low,ab_duration_relative_percent_ci_high,ab_power_relative_percent_mean,ab_power_relative_percent_ci_low,ab_power_relative_percent_ci_high,scientific_primary_method,scientific_primary_method_frozen,scientific_primary_contract_generation,scientific_shadow_method,scientific_shadow_role,scientific_shadow_energy_status,scientific_shadow_valid_run_count,scientific_shadow_affects_primary_claim,scientific_shadow_affects_primary_result,scientific_shadow_affects_final_gate,shadow_energy_total_j,shadow_energy_per_work_j,shadow_energy_total_j_mean,shadow_energy_total_j_ci_low,shadow_energy_total_j_ci_high,shadow_energy_per_work_j_mean,shadow_energy_per_work_j_ci_low,shadow_energy_per_work_j_ci_high,chapter4_legacy_shadow_energy_total_j,chapter4_legacy_shadow_energy_per_work_j,candidate_method,candidate_role,energy_aggregate_status,energy_aggregate_embedded,energy_aggregate_source_path,measurement_status,measurement_failure_reason,measurement_failure_category,energy_calibration_manifest,energy_calibration_sha256,energy_calibration_status,energy_calibration_required,energy_calibration_verified,external_calibration_status,external_calibration_verified,energy_calibrated_input_unsubtracted,primary_energy_input_verified,scientific_primary_energy_status,scientific_primary_claim_eligible,claim_eligible,claim_exclusion_reason,scientific_primary_energy_statistics,scientific_shadow_energy_statistics,chapter4_legacy_shadow_statistics,candidate_v263_shadow_statistics,window_method_comparison_statistics
yolov7_paper,detection,hailo8_to_trt,b066,native_split,orin_nx_hailo8_01,hailo8,hailo8_to_trt,0,0b92f121049ccd014fa2c0476b14840383946efdfbd2065fb22a1e291546c1c2,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,True,3,3,no_valid_repeats,0.95,,,,,,,,,,,,,,,,,,True,3,0,no_valid_ab_repeats,legacy_minus_command_window,,,,,,,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,,,,,,,,candidate_v263,deprecated_alias_for_command_marker_primary,acquisition_integrity_failed_no_valid_runs,True,/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/measurements/hailo8_to_trt__yolov7_paper__b066__orin_nx_hailo8_01__b4a9dc5882cc/plan_30671fc2278e429f908b23c535f15665/attempt_371677f5b7c94cd699c8d8c041ce10cd/energy_aggregate.json,measurement_failed,"mika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/measurements/hailo8_to_trt__yolov7_paper__b066__orin_nx_hailo8_01__b4a9dc5882cc/plan_30671fc2278e429f908b23c535f15665/attempt_371677f5b7c94cd699c8d8c041ce10cd/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmi...",measurement_execution_failed,,,not_applicable_mb,False,False,not_required_non_full_system,False,False,False,incomplete_or_unverified,False,False,measurement_execution_failed;native_output_endpoint_not_verified;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_quality_claim_result_not_verified,"{""active_duration_s"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""avg_power_w"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""command_marker_window"",""scientific_role"":""primary""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}",{},"{""agreement_decision"":""not_evaluated_no_frozen_tolerance"",""agreement_threshold"":null,""average_power_w"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""diagnostic_only"":true,""difference_direction"":""legacy_minus_command_window"",""duration_s"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""end_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""energy_j"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""ln_command_window_over_legacy"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""start_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}}}"
yolov7_paper,detection,native_full_hailo8,full,native_full_baseline,orin_nx_hailo8_01,hailo8,hailo8_to_trt,0,03f695e8f6b72faedfe92e5cb976b0160f9b637b0b165696daaea0b58a482732,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,True,3,3,no_valid_repeats,0.95,,,,,,,,,,,,,,,,,,True,3,0,no_valid_ab_repeats,legacy_minus_command_window,,,,,,,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,,,,,,,,candidate_v263,deprecated_alias_for_command_marker_primary,acquisition_integrity_failed_no_valid_runs,True,/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/measurements/native_full_hailo8__yolov7_paper__full__orin_nx_hailo8_01__9b0225ee3618/plan_30671fc2278e429f908b23c535f15665/attempt_d3eb0b283acf4688855ac59b14156b7e/energy_aggregate.json,measurement_failed,"60827_110251/reports/native_energy_measurements/measurements/native_full_hailo8__yolov7_paper__full__orin_nx_hailo8_01__9b0225ee3618/plan_30671fc2278e429f908b23c535f15665/attempt_d3eb0b283acf4688855ac59b14156b7e/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_...",measurement_execution_failed,,,not_applicable_mb,False,False,not_required_non_full_system,False,False,False,incomplete_or_unverified,False,False,measurement_execution_failed;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_accuracy_gate_not_passed,"{""active_duration_s"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""avg_power_w"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""command_marker_window"",""scientific_role"":""primary""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}",{},"{""agreement_decision"":""not_evaluated_no_frozen_tolerance"",""agreement_threshold"":null,""average_power_w"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""diagnostic_only"":true,""difference_direction"":""legacy_minus_command_window"",""duration_s"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""end_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""energy_j"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""ln_command_window_over_legacy"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""start_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}}}"
yolov7_paper,detection,native_full_tensorrt,full,native_full_baseline,orin_nx_hailo8_01,hailo8,hailo8_to_trt,0,ce796f5fa9da15952e6cbc0b67ff76135caae90e720fffd97501cc4c3f32d39e,7a13e66f91047cce0e251c05f64159646847e842af31d60441c63dcdfad7825d,4badbe579a8fd40a5e49104ab0d8138325041561cd6c1ffa2642b0f288d14e59,b8ac329f5d3e7e201a3938d36c63bfe96a13c8a2be6e4fe6ddfab89cbc135e45,38a3ecae14dfcb4c2555e2f7377578cba90de63ed4a9f74f523f914ebce35a61,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,c7138b4f50b8424cd8165c3c6148d56becbdc39da6226305498c60b9af6045c9,411898b92628e2a769a2b8ea7aa35faff35373cfacb863c3ab34b243c105b70e,2b9ae68fa7a30f5390e496360aabc7a96052420c221c521ec423268d340a1506,6e0496a40fa27ee48850b74bb8f469d98aa542100a9451fc3c50526ffb7df28f,True,3,3,no_valid_repeats,0.95,,,,,,,,,,,,,,,,,,True,3,0,no_valid_ab_repeats,legacy_minus_command_window,,,,,,,,,,command_marker_window,True,v2.67_command_marker_primary,chapter4_legacy_window,same_trace_sensitivity_only,unavailable,0,False,False,False,,,,,,,,,,,candidate_v263,deprecated_alias_for_command_marker_primary,acquisition_integrity_failed_no_valid_runs,True,/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_energy_measurements/measurements/native_full_tensorrt__yolov7_paper__full__orin_nx_hailo8_01__5d969ecc44a9/plan_30671fc2278e429f908b23c535f15665/attempt_c8ed1363e5634d3c93bf87f47e10ada5/energy_aggregate.json,measurement_failed,"y_measurements/measurements/native_full_tensorrt__yolov7_paper__full__orin_nx_hailo8_01__5d969ecc44a9/plan_30671fc2278e429f908b23c535f15665/attempt_c8ed1363e5634d3c93bf87f47e10ada5/repeat_retry_attempts/repeat_002/attempt_01/run_000/preflight/preflight_stderr.log"", ""stderr_sha256"": ""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"", ""attestation_path"": ""/home/kmika/Models/EvaluationRuns/paper_comparison_yolov7_b066_hailo8_native_full_energy_b500_20260827_110251/reports/native_...",measurement_execution_failed,,,not_applicable_mb,False,False,not_required_non_full_system,False,False,False,incomplete_or_unverified,False,False,measurement_execution_failed;final_energy_gate_not_passed;postprocess_not_ok;exact_runtime_work_units_missing;effective_command_window_not_verified;raw_input_energy_not_primary;scientific_primary_unavailable_or_unverified;screening_energy_policy_nonclaimable;native_quality_claim_result_not_verified,"{""active_duration_s"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""avg_power_w"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""command_marker_window"",""scientific_role"":""primary""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}","{""affects_final_gate"":false,""affects_primary_result"":false,""energy_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""energy_per_work_unit_j"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""method"":""chapter4_legacy_window"",""scientific_role"":""shadow_only""}",{},"{""agreement_decision"":""not_evaluated_no_frozen_tolerance"",""agreement_threshold"":null,""average_power_w"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""diagnostic_only"":true,""difference_direction"":""legacy_minus_command_window"",""duration_s"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""end_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""energy_j"":{""absolute"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""ln_command_window_over_legacy"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""relative_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""symmetric_percent"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}},""start_boundary"":{""milliseconds"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null},""samples"":{""ci_half_width"":null,""ci_high"":null,""ci_low"":null,""coefficient_of_variation_percent"":null,""confidence_level"":0.95,""mean"":null,""method"":""student_t_two_sided"",""n"":0,""sample_stddev"":null,""standard_error"":null}}}"
