endpoint_id,model_id,case_id,setup_id,backend,direction,precision,endpoint_contract_hash,planned,materialized,measurement_payload_present,measured,valid_measurement,terminal,terminal_failure,lifecycle_status,terminal_reason,terminal_reason_scope,measurement_evidence_status,technical_measurement_valid,eligible_for_technical_observation,runner_returncode,causal_backend,causal_hw_arch,builder_backend,plan_evidence,materialization_evidence_count,measurement_evidence_count,valid_measurement_evidence_count,terminal_evidence_count
generic:yolov7_paper:ort_tensorrt:b066,yolov7_paper,b066,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[],""candidate_origin"":""profile_forced_case"",""case_id"":""b066"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:yolov7_paper:ort_tensorrt:b066"",""endpoint_scope"":""generic_split"",""model_id"":""yolov7_paper"",""run_profile_id"":""ort_tensorrt""}",1,2,2,0
generic:yolov7_paper:ort_tensorrt:full,yolov7_paper,full,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""case_id"":""full"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:yolov7_paper:ort_tensorrt:full"",""endpoint_scope"":""generic_full_baseline"",""model_id"":""yolov7_paper"",""run_profile_id"":""ort_tensorrt""}",0,2,2,0
generic:yolov7_paper:hailo8:full,yolov7_paper,full,,hailo8,hailo8,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8"",""case_id"":""full"",""direction"":""hailo8"",""endpoint_id"":""generic:yolov7_paper:hailo8:full"",""endpoint_scope"":""generic_full_baseline"",""model_id"":""yolov7_paper"",""run_profile_id"":""hailo8""}",0,2,2,0
generic:yolov7_paper:hailo8_to_trt:b066,yolov7_paper,b066,,hailo8_to_trt,hailo8_to_trt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""hailo8_to_trt"",""candidate_execution_roles"":[],""candidate_origin"":""profile_forced_case"",""case_id"":""b066"",""direction"":""hailo8_to_trt"",""endpoint_id"":""generic:yolov7_paper:hailo8_to_trt:b066"",""endpoint_scope"":""generic_split"",""model_id"":""yolov7_paper"",""run_profile_id"":""hailo8_to_trt""}",1,2,2,0
