backend,case_id,contract_comparison_conflicts,decomposition_source,full_onnx_AP50,full_onnx_AP75,full_onnx_COCO_AP_50_95,model,reference_identity,setup_id,split_AP50,split_AP75,split_COCO_AP_50_95,split_extra_loss_AP50,split_extra_loss_AP75,split_extra_loss_COCO_AP_50_95,status,task,total_split_loss_AP50,total_split_loss_AP75,total_split_loss_COCO_AP_50_95,vendor_full_AP50,vendor_full_AP75,vendor_full_COCO_AP_50_95,vendor_loss_AP50,vendor_loss_AP75,vendor_loss_COCO_AP_50_95
hailo8,b066,[],paired_central_quality_results,0.5973630231150453,0.4885298674409785,0.4520187916528286,yolov7_paper,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,orin_nx_hailo8_01,0.6052535578571628,0.4967305281374713,0.45786292065442125,0.007605921716825725,0.029441994266344695,0.04307954025159744,ok,detection,0.007890534742117539,0.008200660696492834,0.005844129001592646,0.5976476361403371,0.4672885338711266,0.4147833804028238,0.0002846130252918133,-0.02124133356985186,-0.03723541125000479
tensorrt,b066,[],paired_central_quality_results,0.5973630231150453,0.4885298674409785,0.4520187916528286,yolov7_paper,4173024d9baff0aa39612b1289d4edda9335e4064a25967218c4f5acbdab760a,orin_nx_hailo8_01,0.6101317939837232,0.4985239738893538,0.461172669130276,8.265081756175796e-05,4.314296316393351e-05,3.952024301678847e-05,ok,detection,0.012768770868677892,0.00999410644837534,0.009153877477447392,0.6100491431661614,0.4984808309261899,0.4611331488872592,0.012686120051116134,0.009950963485211406,0.009114357234430603
