manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260708_232454	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119791	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260709_123403	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119791	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260710_010033	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119871	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260710_160415	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119803	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260711_004007	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119835	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full/20260717_075600	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2119415	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full_orin_nx_deepx_m1_01/20260717_212047	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	706437	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_resnet50_full_orin_nx_deepx_m1_01/20260718_071052	resnet50_deepx_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	706537	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260703_003535	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120459	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260703_143020	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120471	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
