backend,producer_impl,model,case,precision,setup_id,comparison_backend,execution_mode,status,ok,buildable,runtime_executable,detection_claim_exclusion_entry_sha256,detection_diagnostic_sha256,prospective_detection_claim_exclusion_reason,prospective_detection_claim_exclusion,quality_physical_evidence_conflict_fields,quality_physical_evidence_conflict,contract_consistent,semantic_ok,claim_ok_structural_clamped,claim_structural_gate_reason,claim_structural_gate_pass,claim_ok_source,claim_ok,fps_makespan,fps_median,fps_ci95_low,fps_ci95_high,legacy_reciprocal_latency_fps,latency_mean_ms,latency_median_ms,latency_p50_ms,latency_p95_ms,latency_ci95_low_ms,latency_ci95_high_ms,latency_semantics,completion_interval_mean_ms,outer_makespan_verified,repetition_count_requested,repetition_count_attempted,repetition_count_valid,repetition_status,repetition_aggregation,repetition_claim_identity_status,repetition_claim_identity_drift,repetition_claim_identity_incomplete,output_endpoint_id,physical_output_endpoint_id,comparison_output_endpoint_id,output_endpoint_match,comparison_endpoint_match,output_endpoint_comparison_stratum,comparison_stratum_explicit,runtime_precision_explicit,precision_quality_verified,precision_quality_binding_verified,task_quality_observation_valid,quality_claim_result_verified,quality_evidence_verified,quality_match_status,quality_match_count,quality_summary_status,quality_contract_consistent,quality_central_evidence_verified,quality_task_valid,quality_accuracy_gate_pass,quality_eligible_for_ranking,quality_gate_status,quality_accuracy_gate_reason,quality_ranking_exclusion_reason,structural_contract_pass,structural_contract_status,structural_contract_reason,numerical_similarity_pass,numerical_similarity_status,numerical_similarity_reason,numerical_similarity_scope,numerical_similarity_metric,numerical_similarity_value,numerical_similarity_threshold,numerical_similarity_mean_iou,numerical_similarity_mean_iou_threshold,numerical_similarity_policy_id,task_quality_pass,task_quality_status,task_quality_reason,quality_first_producer_identity_sha256,quality_first_producer_identity_match,quality_request_binding_status,quality_request_binding_sha256,quality_request_binding_set_sha256,central_quality_result_sha256,source_request_sha256,model_sha256,hailo_hef_build_receipt_status,hailo_hef_build_receipt_path,hailo_hef_build_receipt_file_sha256,hailo_hef_build_receipt_sha256,hailo_hef_source_onnx_path,hailo_hef_compiler_onnx_sha256,hailo_hef_preprocessing_contract,hailo_hef_preprocessing_contract_sha256,validation_dataset_sha256,validation_dataset_image_ids_sha256,validation_dataset_ground_truth_sha256,accuracy_gate_policy_sha256,task_quality_policy_sha256,runtime_quality_gate_policy_sha256,quality_contract_sha256,preprocessing_contract_sha256,decoder_contract_sha256,nms_contract_sha256,quality_record_endpoint_contract_sha256,repeat_claim_gate_pass,performance_claim_eligible,performance_claim_exclusion_reasons,paper_fps,handoff_ms,p1_ms,p2_run_ms,p1_thread_ms,p2_thread_ms,frames,warmup,inflight,producer_ready,consumer_ready,input_image,input_image_source,input_image_sha256,input_manifest,runtime_input_dtype,runtime_input_shape,runtime_input_layout,runtime_preprocess_mode,runtime_normalization,runtime_color_space,runtime_preprocessing_identity,runtime_preprocessing_sha256,runtime_numeric_input_identity,runtime_numeric_input_sha256,engine_precision,native_command_contract_sha256,output_dump_manifest,native_output_manifest,output_contract_manifest_status,semantic_dump_status,semantic_dump_failure_reason,task,stage,output_format,contract_family,contract_source,endpoint_contract_complete,endpoint_contract_hash,output_endpoint_attestation,accelerator_output_stage,accelerator_output_contract_family,accelerator_endpoint_contract_hash,accelerator_output_endpoint_attestation,source_e2e_scope,e2e_scope,e2e_claim_eligible,e2e_contract_reason,comparison_endpoint_stratum,measurement_concurrency,requires_host_decode_nms,postprocess_included,postprocess_location,host_postprocess_frozen,host_postprocessing_available,host_tail_available,host_postprocess_required,host_tail_required,host_postprocessing_evidence_status,host_postprocessing_evidence_source,host_postprocessing_legacy_alias_conflict,decoder_contract_pass,nms_ok,decoder_id,postprocess_completed_frames,postprocess_completion_verified,completed_task_result_artifact_verification_status,direct_source_endpoint_binding_verified,direct_source_endpoint_binding_status,frozen_host_postprocess_contract,frozen_host_postprocess_contract_sha256,frozen_host_postprocess_result,normalization_frozen,frozen_decoded_nms_normalization_contract,frozen_decoded_nms_normalization_contract_sha256,frozen_decoded_nms_normalization_result,direct_bn6_completion_projection_status,completed_task_stage,completed_task_contract_family,completed_task_endpoint_contract,completed_task_endpoint_contract_hash,completed_task_output_endpoint_id,completed_task_comparison_endpoint_contract,completed_task_comparison_endpoint_contract_hash,completed_task_comparison_output_endpoint_id,completed_task_completion_mode,completed_task_endpoint_attested,completed_task_endpoint_attestation,completed_task_endpoint_attestation_status,completed_task_result_artifact,completed_task_result_artifact_path,completed_task_result_artifact_saved,completed_task_result_artifact_sha256,completed_task_result_artifact_file_sha256,completed_task_endpoint_projection_status,performance_benchmark_source,performance_input_contract_mode,comparison_precision,legacy_comparison_precision,execution_precision,full_runtime_precision,runtime_precision_source,full_command_contract_sha256,failure_reason,status_detail,error,timed_out,returncode,fps_source,result_source,stdout_tail,stderr_tail,note,report,source_root,quality_nearest_candidate_count,quality_nearest_candidates
native_full_hailo8,hailo8_vstreams_full,resnet50,full,uint8_dequant_fp16,orin_nx_hailo8_01,hailo8,native_full_baseline,ok,True,,,,,,,[],False,True,True,False,endpoint_contract_complete,True,True,True,121.98605870073838,121.98605870073838,121.97205946322353,121.99673555672531,,,,,,,,not_measured_async_or_streaming_throughput,8.197658082004637,,3,3,3,complete,median_with_deterministic_percentile_bootstrap_ci95,exact,False,False,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,True,True,"[""resnet50"",""full"",""native_full_baseline"",""orin_nx_hailo8_01"",""hailo8""]",True,True,True,True,False,False,False,exact_identity_match,1,loaded,True,True,inconclusive,False,False,quality_inconclusive,quality_inconclusive,quality_inconclusive,True,pass,endpoint_contract_complete,True,passed,classification_top1_self_reference_match,classification_top1_self_reference,top1_match,1.0,1.0,,,classification_top1_exact_v1,inconclusive,inconclusive,task_quality_inconclusive,,,verified_exact,567a6bf69c3e88d58b091da472df3e1e3592f28d211289c3e20eef5c4676a34c,61079e3b0c9c61be96c145a84675dd1a5d9d1102f3fa7196a91ca66c133327b9,15e9900b964683e5cb4d608d6c5fb0913c1b9a0e405b9515e99dacd4bd73d390,888432390eb3438a5244b7095f3635b9c836c24b526cb6d4cfc797658d5b8edb,cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50,hailo_hef_build_receipt_verified_exact,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/hailo/hailo8/full/hailo_hef_build_receipt.json,6c260df96e7b8b8b18a71976c4faee80c91ffd3ead845e5994b0052565d0cda3,7db4bdb62418ab34cca759f12a5c65513f43b1d62edc316d3d3aff182c789e8c,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/models/resnet50.onnx,6be0aac8ea4828e362ec2d7c96defabcee89e6103b4600f4ca2e64fe006e37b4,"{""color_space"":""RGB"",""contract_scope"":""prepared_rgb_uint8_semantics"",""image_scale"":""imagenet"",""input_domain"":""uint8_0_255"",""letterbox"":false,""letterbox_pad_value"":0,""pad_value"":0,""placement"":""not_applicable"",""preprocess_mode"":""resize"",""resize_interpolation"":""bilinear"",""resize_rounding"":""python_round_ties_to_even"",""schema"":""onnx-splitpoint/image-preprocessing-contract"",""schema_version"":2,""spatial_transform"":""direct_resize"",""target_hw"":[224,224],""task"":""classification""}",ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9,64a7ef3bf55352bb39ef86f25fe73e6ff18a51ed1a02c8aca4940178f69e7b6c,71032a98e158ca71711a5567de5d46fbf04f05777baa940f74f3c39fdf0c083f,87775e86ef3bcf3ec1e0d0a79696bf2f58fa215d5320ce80167bb1f417c7a177,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,79ef1647bf24585dc9db2708cd063148bc0e60a8a3f6fa948c5da2ecb9642493,ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9,,,e9ce4efdbc6b0eb27288f254c4fb705c667af3c1f128915abb8ae808533aac24,True,False,"[""task_quality_observation_invalid""]",121.98605870073838,,,,,,1000,100,,,,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG,generic_validation_image_map,7fcdd3d95ff2491a2a5fe235d786026b728ffe0f88d25c4543d9a3e253f71652,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_input_manifest.json,uint8,"[224,224,3]",HWC,resize_rgb_uint8,embedded_hailo_quantization,RGB,"{""color_space"":""RGB"",""contract_scope"":""prepared_rgb_uint8_semantics"",""image_scale"":""imagenet"",""input_domain"":""uint8_0_255"",""letterbox"":false,""letterbox_pad_value"":0,""pad_value"":0,""placement"":""not_applicable"",""preprocess_mode"":""resize"",""resize_interpolation"":""bilinear"",""resize_rounding"":""python_round_ties_to_even"",""schema"":""onnx-splitpoint/image-preprocessing-contract"",""schema_version"":2,""spatial_transform"":""direct_resize"",""target_hw"":[224,224],""task"":""classification""}",ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9,"{""backend"":""native_full_hailo8"",""preprocessing_contract_sha256"":""ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9"",""runtime_color_space"":""RGB"",""runtime_input_dtype"":""uint8"",""runtime_input_layout"":""HWC"",""runtime_input_name"":""resnet50_full/input_layer1"",""runtime_input_shape"":[224,224,3],""runtime_normalization"":""embedded_hailo_quantization"",""runtime_numeric_domain"":""uint8_0_255"",""schema"":""onnx-splitpoint/runtime-numeric-input-identity"",""schema_version"":1,""task"":""classification""}",13b03a182b00cb8c212d1d794f4b790ec9fd874431cc70f0acf6b5b76626de3e,unavailable,,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_outputs_manifest.json,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_outputs_manifest.json,,ok,,classification,classification_logits,classification_logits,classification_logits,authoritative_suite_contract_plus_runtime_tensor:v4,True,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""b0dd29fb95ec2953fe1ecbf2965d2d77a04eaa2955a4eb6b06e24f7a602650af"",""declaration_source_contracts_sha256"":""caf4818cf419b12de436f9ac731ff8a63435af12f5abb138bc7d0ba62b44ae46"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification_logits,classification_logits,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""b0dd29fb95ec2953fe1ecbf2965d2d77a04eaa2955a4eb6b06e24f7a602650af"",""declaration_source_contracts_sha256"":""caf4818cf419b12de436f9ac731ff8a63435af12f5abb138bc7d0ba62b44ae46"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",accelerator_output_endpoint,full_task_pipeline,True,native_full_non_detection_explicit_input_contract,classification_logits,1,,False,,False,False,False,False,False,not_required,explicit_host_postprocess_not_required,False,,,,0,True,not_applicable,True,not_applicable,{},,{},False,,,,not_applicable,,,,,,{},,,,True,,passed,{},,False,,,not_required,,,uint8_dequant_fp16,uint8_dequant_fp16,,,unavailable,59d5c1c9e9498a56769948bdee4886ab0d18ee838523f5deaa8140f45dea6173,,,,False,0,,,"[hailo-full-from-bs] hef: /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/hailo/hailo8/full/compiled.hef
[hailo-full-from-bs] hw_arch: hailo8 runtime_api: vstreams
[hailo-full-from-bs] task: classification image: /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG
[hailo-full-from-bs] cmd: /home/nx/hailo_py/bin/python /home/nx/ONNX-Splitpoint-Tool/scripts/smoke_hailo10_hef_runner.py --hef /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/hailo/hailo8/full/compiled.hef --hw-arch hailo8 --runtime-api vstreams --throughput-mode --copy-outputs --frames 1000 --warmup 100 --inflight 1 --task classification --preprocess-mode auto --letterbox-pad-value 114 --backend-label native_full_hailo8 --model resnet50 --setup-id orin_nx_hailo8_01 --comparison-backend hailo8 --persistent-activation --onnx /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/models/resnet50.onnx --declared-output-contract-json /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/contract_overlay/output_contracts.json --image /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG --dump-outputs --dump-dir /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8 --json-out /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_hailo_report.json
[hailo10-smoke] HEF: /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/hailo/hailo8/full/compiled.hef
[hailo10-smoke] inputs: {""resnet50_full/input_layer1"": {""dtype"": ""uint8"", ""shape"": [224, 224, 3]}}
[hailo10-smoke] outputs: {""resnet50_full/fc1"": [1000]}
[hailo10-smoke] quantized_inputs=True quantized_outputs=False persistent_activation=True runtime_api=vstreams hotloop=True copy_outputs=True
[hailo10-smoke] throughput fps=121.99 completion_interval_mean_ms=8.198 elapsed_s=8.198 completed/requested=1000/1000 inflight=1 warmup=100 copy_inputs=True mode=synchronous_vstreams_native_loop
[hailo10-smoke] output_summary: {""resnet50_full/fc1"": {""dtype"": ""float32"", ""max"": 5.960036277770996, ""min"": -0.8764759302139282, ""shape"": [1000]}}
[hailo10-smoke] semantic output manifest: /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_outputs_manifest.json
[hailo10-smoke] wrote: /home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_hailo_report.json",,native full baseline measured,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_hailo8/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_hailo_report.json,/home/kmika/Models/EvaluationRuns/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/native_producers/hailo8,0,[]
native_full_tensorrt,native_tensorrt_full,resnet50,full,uint8_dequant_fp16,orin_nx_hailo8_01,hailo8,native_full_baseline,ok,True,,,,,,,[],False,True,True,False,endpoint_contract_complete,True,True,True,589.63,589.63,588.585,589.982,,1.73305259,1.73305259,1.73291,1.7391429999999999,1.73265403,1.73744857,request_end_to_end_trtexec,,,3,3,3,complete,median_with_deterministic_percentile_bootstrap_ci95,exact,False,False,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,classification:classification_logits:3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,True,True,"[""resnet50"",""full"",""native_full_baseline"",""orin_nx_hailo8_01"",""hailo8""]",True,True,True,True,True,False,True,exact_identity_match,1,loaded,True,True,True,True,False,screening_only,screening_only,screening_only,True,pass,endpoint_contract_complete,True,passed,classification_top1_self_reference_match,classification_top1_self_reference,top1_match,1.0,1.0,,,classification_top1_exact_v1,True,pass,task_quality_passed,6fd55f9a978cab48d539f5620d89465236dc44b3c3a5a682be3c9591445e4b93,True,not_available_for_identity,,,,8dfc75a1730604f8159de7a3f45f0c80337174ef704d07236d92d14a46bbfb0f,cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50,,,,,,,{},,64a7ef3bf55352bb39ef86f25fe73e6ff18a51ed1a02c8aca4940178f69e7b6c,71032a98e158ca71711a5567de5d46fbf04f05777baa940f74f3c39fdf0c083f,87775e86ef3bcf3ec1e0d0a79696bf2f58fa215d5320ce80167bb1f417c7a177,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,,79ef1647bf24585dc9db2708cd063148bc0e60a8a3f6fa948c5da2ecb9642493,ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9,,,e9ce4efdbc6b0eb27288f254c4fb705c667af3c1f128915abb8ae808533aac24,True,True,[],589.63,,,,,,1000,100,,,,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/resources/validation/classification/val_by_wnid_n500_s20260710/images/n01443537/ILSVRC2012_val_00013623.JPEG,generic_validation_image_map,7fcdd3d95ff2491a2a5fe235d786026b728ffe0f88d25c4543d9a3e253f71652,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_tensorrt/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_input_manifest.json,float32,"[1,3,224,224]",NCHW,resize_rgb_uint8,imagenet_mean_std,RGB,"{""color_space"":""RGB"",""contract_scope"":""prepared_rgb_uint8_semantics"",""image_scale"":""imagenet"",""input_domain"":""uint8_0_255"",""letterbox"":false,""letterbox_pad_value"":0,""pad_value"":0,""placement"":""not_applicable"",""preprocess_mode"":""resize"",""resize_interpolation"":""bilinear"",""resize_rounding"":""python_round_ties_to_even"",""schema"":""onnx-splitpoint/image-preprocessing-contract"",""schema_version"":2,""spatial_transform"":""direct_resize"",""target_hw"":[224,224],""task"":""classification""}",ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9,"{""backend"":""native_full_tensorrt"",""preprocessing_contract_sha256"":""ea28cf5ac35bd4c9a3321ac97fd559f32fd7a661dc4a93c324fe3ffc54188fa9"",""runtime_color_space"":""RGB"",""runtime_input_dtype"":""float32"",""runtime_input_layout"":""NCHW"",""runtime_input_name"":""input"",""runtime_input_shape"":[1,3,224,224],""runtime_normalization"":""imagenet_mean_std"",""runtime_numeric_domain"":""float_imagenet_mean_std"",""schema"":""onnx-splitpoint/runtime-numeric-input-identity"",""schema_version"":1,""task"":""classification""}",eaa696b5f57eb4148b1a1348f212d3db9823fc2dc6b1d165662334b74bc59595,fp16,,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_tensorrt/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_outputs_manifest.json,/home/nx/native_fifo_evalsets/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/resnet50/benchmark_set/native_full_outputs/model=resnet50/backend=native_full_tensorrt/setup=orin_nx_hailo8_01/comparison=hailo8/native_full_outputs_manifest.json,,ok,,classification,classification_logits,classification_logits,classification_logits,authoritative_suite_contract_plus_runtime_tensor:v4,True,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""c268006842028389446cbe2236a760e12bab6a9e79fc71b1b9ef587a77fda046"",""declaration_source_contracts_sha256"":""02d1afaf1de69a1a8b29d3e7cb77c522577ba7cbd1fcaa4d003aa96ec85a4cca"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",classification_logits,classification_logits,3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28,"{""attested"":true,""class_count"":1000,""declaration_source_contract_sha256"":""c268006842028389446cbe2236a760e12bab6a9e79fc71b1b9ef587a77fda046"",""declaration_source_contracts_sha256"":""02d1afaf1de69a1a8b29d3e7cb77c522577ba7cbd1fcaa4d003aa96ec85a4cca"",""endpoint"":""classification_logits"",""endpoint_contract_hash"":""3af2122851f19c5bf2b16b9c3ef78a6ba11452db33ff8fb915b76e3461bbcb28"",""reason"":""single_finite_multiclass_tensor"",""schema"":""onnx-splitpoint/runtime-output-endpoint-attestation"",""schema_version"":3,""stage"":""classification_logits"",""status"":""passed""}",unavailable,full_task_pipeline,True,native_full_non_detection_explicit_input_contract,classification_logits,1,,False,,False,False,False,False,False,not_required,explicit_host_postprocess_not_required,False,,,,,,,,,{},,{},False,,,,not_applicable,,,,,,,,,,,,not_required,,,,,,not_required,,,uint8_dequant_fp16,uint8_dequant_fp16,fp16,fp16,trt_precision_cli,0868aff8bd8f5b5630d52a1acd4d892d6c8b108fe432d0405feb69cc1a318009,,,,False,0,run_trtexec.log,,"{""build_ok"": true, ""case"": null, ""engine"": ""/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/resnet50-c2c924d098cff311/b119/native/ce/cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50/full/fp16/full_fp16.engine"", ""run_ok"": true, ""variant"": ""full""}
[native-trt] wrote /home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/resnet50-c2c924d098cff311/b119/native/ce/cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50/full/fp16/native_trt_summary.json",,native full baseline measured,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/resnet50-c2c924d098cff311/b119/native/ce/cebd9d5879ddd304a18f51e559ab74fba5cbd1f610b9359321bc5228acbe4f50/full/fp16/native_trt_meta.json,/home/kmika/Models/EvaluationRuns/paper_comparison_resnet50_hailo8_full_native_energy_b500_20260827_105134/native_producers/hailo8,0,[]
